Left,Right,Operation,Object
rar,>,INS,á
r,>,INS,áu
r,>,INS,á
rar,>,INS,áu
yudar,>,INS,a
dar,>,INS,í
ayudar,>,INS,s
r,>,INS,s
yudar,>,INS,s
ar,>,INS,amos
udar,>,INS,a
r,>,INS,mos
ar,>,INS,a
yudar,>,INS,os
r,>,INS,o
ayudar,>,INS,a
yudar,>,INS,í
ar,>,INS,os
ar,>,INS,mos
ar,>,INS,íamos
<ayudar,>,INS,os
ar,>,INS,í
ayudar,>,INS,í
dar,>,INS,amos
udar,>,INS,ía
dar,>,INS,ía
dar,>,INS,o
ayudar,>,INS,o
r,>,INS,ía
<ayudar,>,INS,í
<ayudar,>,INS,s
dar,>,INS,a
dar,>,INS,s
dar,>,INS,mos
r,>,INS,í
ar,>,INS,s
udar,>,INS,mos
dar,>,INS,os
udar,>,INS,o
yudar,>,INS,o
udar,>,INS,os
r,>,INS,os
ayudar,>,INS,os
r,>,INS,íamos
r,>,INS,a
udar,>,INS,í
ar,>,INS,o
<ayudar,>,INS,o
ar,>,INS,ía
<ayudar,>,INS,a
udar,>,INS,amos
dar,>,INS,íamos
r,>,INS,amos
udar,>,INS,s
gar,>,INS,e
r,>,INS,os
egar,>,INS,e
fregar,>,INS,e
gar,>,INS,o
regar,>,INS,mos
r,>,INS,mos
ar,>,INS,e
ar,>,INS,o
<resfregar,>,INS,s
sfregar,>,INS,mos
sfregar,>,INS,os
esfregar,>,INS,os
fregar,>,INS,o
esfregar,>,INS,mos
ar,>,INS,s
fregar,>,INS,os
egar,>,INS,os
r,>,INS,e
r,>,INS,s
esfregar,>,INS,e
regar,>,INS,os
gar,>,INS,s
esfregar,>,INS,s
ar,>,INS,emos
r,>,INS,o
r,>,INS,emos
ar,>,INS,os
esfregar,>,INS,o
sfregar,>,INS,s
fregar,>,INS,s
ar,>,INS,mos
sfregar,>,INS,o
<resfregar,>,INS,e
regar,>,INS,s
regar,>,INS,e
egar,>,INS,emos
egar,>,INS,o
gar,>,INS,os
fregar,>,INS,mos
sfregar,>,INS,e
resfregar,>,INS,s
resfregar,>,INS,e
gar,>,INS,emos
gar,>,INS,mos
regar,>,INS,o
egar,>,INS,mos
egar,>,INS,s
gar,>,INS,da
avilgar,>,INS,a
ilgar,>,INS,a
cavilgar,>,INS,a
<cavilgar,>,INS,a
r,>,INS,a
ar,>,INS,a
gar,>,INS,a
r,>,INS,da
vilgar,>,INS,a
lgar,>,INS,a
ar,>,INS,da
r,>,INS,o
primar,>,INS,o
<emprimar,>,INS,o
mar,>,INS,o
imar,>,INS,o
ar,>,INS,o
mprimar,>,INS,o
emprimar,>,INS,o
rimar,>,INS,o
r,>,INS,éis
ar,>,INS,s
r,>,INS,i
<inorar,>,INS,s
rar,>,INS,é
ar,>,INS,éis
r,>,INS,s
rar,>,INS,éi
rar,>,INS,éis
<inorar,>,INS,i
norar,>,INS,s
orar,>,INS,éi
orar,>,INS,éis
orar,>,INS,s
inorar,>,INS,i
rar,>,INS,s
ar,>,INS,é
ar,>,INS,éi
r,>,INS,éi
orar,>,INS,é
orar,>,INS,i
inorar,>,INS,s
rar,>,INS,i
ar,>,INS,i
r,>,INS,é
norar,>,INS,i
<heredar,>,INS,e
heredar,>,INS,e
r,>,INS,eis
r,>,INS,i
r,>,INS,e
<heredar,>,INS,s
edar,>,INS,e
r,>,INS,s
eredar,>,INS,s
ar,>,INS,s
dar,>,INS,i
ar,>,INS,eis
edar,>,INS,s
redar,>,INS,s
eredar,>,INS,e
redar,>,INS,e
heredar,>,INS,s
ar,>,INS,i
dar,>,INS,eis
dar,>,INS,s
dar,>,INS,e
ar,>,INS,e
har,>,INS,i
scuchar,>,INS,e
escuchar,>,INS,e
char,>,INS,i
ar,>,INS,i
char,>,INS,s
ar,>,INS,e
har,>,INS,e
har,>,INS,eis
char,>,INS,eis
cuchar,>,INS,e
uchar,>,INS,e
ar,>,INS,eis
r,>,INS,e
<escuchar,>,INS,e
escuchar,>,INS,s
ar,>,INS,s
uchar,>,INS,i
char,>,INS,e
scuchar,>,INS,s
ar,>,INS,beis
r,>,INS,i
r,>,INS,s
<escuchar,>,INS,s
har,>,INS,s
r,>,INS,eis
cuchar,>,INS,s
r,>,INS,beis
uchar,>,INS,s
rear,>,INS,a
ear,>,INS,a
r,>,INS,a
crear,>,INS,a
ar,>,INS,a
<crear,>,INS,a
r,>,INS,i
iar,>,INS,s
r,>,INS,s
tudiar,>,INS,s
ar,>,INS,íeis
iar,>,INS,eis
estudiar,>,INS,s
ar,>,INS,í
diar,>,INS,e
estudiar,>,INS,e
diar,>,INS,eis
studiar,>,INS,s
ar,>,INS,e
studiar,>,INS,e
tudiar,>,INS,i
iar,>,INS,e
iar,>,INS,i
<estudiar,>,INS,e
ar,>,INS,eis
<estudiar,>,INS,i
diar,>,INS,í
ar,>,INS,i
udiar,>,INS,i
udiar,>,INS,e
r,>,INS,eis
r,>,INS,e
diar,>,INS,s
tudiar,>,INS,e
<estudiar,>,INS,s
r,>,INS,íeis
diar,>,INS,i
udiar,>,INS,s
studiar,>,INS,i
estudiar,>,INS,i
iar,>,INS,íeis
iar,>,INS,í
r,>,INS,í
ar,>,INS,s
ar,>,INS,es
iar,>,INS,es
r,>,INS,es
ordiar,>,INS,s
ilordiar,>,INS,s
ilordiar,>,INS,e
iar,>,INS,e
r,>,INS,s
<bilordiar,>,INS,e
r,>,INS,e
diar,>,INS,e
<bilordiar,>,INS,s
ar,>,INS,s
bilordiar,>,INS,e
lordiar,>,INS,e
rdiar,>,INS,s
diar,>,INS,es
diar,>,INS,s
ordiar,>,INS,e
lordiar,>,INS,s
iar,>,INS,s
rdiar,>,INS,e
ar,>,INS,e
bilordiar,>,INS,s
significar,>,INS,e
nificar,>,INS,e
<significar,>,INS,e
icar,>,INS,e
ificar,>,INS,e
ignificar,>,INS,e
ar,>,INS,e
r,>,INS,e
car,>,INS,e
gnificar,>,INS,e
ficar,>,INS,e
zar,>,INS,ce
omenzar,>,INS,e
zar,>,INS,ces
zar,>,INS,e
omenzar,>,INS,s
ar,>,INS,ce
nzar,>,INS,ce
menzar,>,INS,s
nzar,>,INS,s
enzar,>,INS,es
enzar,>,INS,e
r,>,INS,s
nzar,>,INS,es
r,>,INS,c
zar,>,INS,es
omenzar,>,INS,es
ar,>,INS,c
menzar,>,INS,e
ar,>,INS,s
enzar,>,INS,c
r,>,INS,ce
comenzar,>,INS,s
ar,>,INS,e
comenzar,>,INS,ce
r,>,INS,ces
r,>,INS,e
comenzar,>,INS,c
ar,>,INS,es
nzar,>,INS,c
enzar,>,INS,s
comenzar,>,INS,e
enzar,>,INS,ce
menzar,>,INS,c
menzar,>,INS,ce
zar,>,INS,s
<comenzar,>,INS,e
zar,>,INS,c
omenzar,>,INS,ce
comenzar,>,INS,es
r,>,INS,es
omenzar,>,INS,c
ar,>,INS,ces
menzar,>,INS,es
nzar,>,INS,e
<comenzar,>,INS,s
r,>,INS,ái
ilar,>,INS,i
lar,>,INS,i
ar,>,INS,i
ilar,>,INS,á
ar,>,INS,á
r,>,INS,i
r,>,INS,á
lar,>,INS,ái
lar,>,INS,á
ar,>,INS,ái
mitar,>,INS,es
ar,>,INS,s
imitar,>,INS,s
r,>,INS,es
<imitar,>,INS,e
itar,>,INS,e
<imitar,>,INS,s
mitar,>,INS,s
itar,>,INS,es
ar,>,INS,e
ar,>,INS,es
itar,>,INS,s
imitar,>,INS,e
tar,>,INS,e
r,>,INS,s
r,>,INS,e
tar,>,INS,es
tar,>,INS,s
mitar,>,INS,e
añar,>,INS,ía
ar,>,INS,ai
ñar,>,INS,a
ar,>,INS,s
ñar,>,INS,s
ñar,>,INS,ais
r,>,INS,i
<dañar,>,INS,a
ar,>,INS,ais
r,>,INS,s
dañar,>,INS,a
r,>,INS,ía
añar,>,INS,i
dañar,>,INS,s
r,>,INS,ais
añar,>,INS,a
ñar,>,INS,ía
r,>,INS,a
ñar,>,INS,i
r,>,INS,í
ar,>,INS,ía
<dañar,>,INS,s
añar,>,INS,í
ar,>,INS,a
ñar,>,INS,ai
ar,>,INS,íais
añar,>,INS,s
ar,>,INS,í
añar,>,INS,ai
r,>,INS,íais
añar,>,INS,ais
ñar,>,INS,í
<dañar,>,INS,i
ar,>,INS,i
r,>,INS,ai
dañar,>,INS,i
r,>,INS,a
arlar,>,INS,a
harlar,>,INS,a
ar,>,INS,a
ar,>,INS,ba
rlar,>,INS,a
lar,>,INS,ba
lar,>,INS,a
charlar,>,INS,a
<charlar,>,INS,a
r,>,INS,ba
r,>,INS,áis
dar,>,INS,á
ndar,>,INS,i
ar,>,INS,i
dar,>,INS,áis
dar,>,INS,ái
andar,>,INS,s
dar,>,INS,i
ndar,>,INS,á
ar,>,INS,ái
ar,>,INS,s
<mandar,>,INS,s
mandar,>,INS,s
ndar,>,INS,s
r,>,INS,s
r,>,INS,ái
r,>,INS,i
r,>,INS,á
ar,>,INS,á
ar,>,INS,áis
dar,>,INS,s
r,>,INS,s
ar,>,INS,es
tucar,>,INS,s
r,>,INS,es
ar,>,INS,s
rtucar,>,INS,s
<fartucar,>,INS,s
fartucar,>,INS,s
artucar,>,INS,s
rtucar,>,INS,e
<fartucar,>,INS,e
ucar,>,INS,s
car,>,INS,s
tucar,>,INS,e
ar,>,INS,e
car,>,INS,e
ucar,>,INS,es
fartucar,>,INS,e
artucar,>,INS,e
car,>,INS,es
ucar,>,INS,e
r,>,INS,e
mosar,>,INS,a
amosar,>,INS,a
r,>,INS,a
sar,>,INS,a
<amosar,>,INS,a
r,>,INS,ba
sar,>,INS,ba
ar,>,INS,ba
osar,>,INS,a
ar,>,INS,a
oliflar,>,INS,e
lar,>,INS,os
flar,>,INS,s
ar,>,INS,o
ar,>,INS,s
goliflar,>,INS,o
iflar,>,INS,os
oliflar,>,INS,s
goliflar,>,INS,e
lar,>,INS,s
<goliflar,>,INS,o
flar,>,INS,mos
liflar,>,INS,o
r,>,INS,emos
goliflar,>,INS,os
r,>,INS,e
iflar,>,INS,o
ar,>,INS,emos
oliflar,>,INS,os
lar,>,INS,e
<goliflar,>,INS,s
liflar,>,INS,e
goliflar,>,INS,s
ar,>,INS,e
flar,>,INS,os
r,>,INS,mos
flar,>,INS,e
liflar,>,INS,os
r,>,INS,s
r,>,INS,os
r,>,INS,o
iflar,>,INS,s
<goliflar,>,INS,os
lar,>,INS,o
lar,>,INS,mos
iflar,>,INS,e
ar,>,INS,mos
lar,>,INS,emos
ar,>,INS,os
oliflar,>,INS,o
liflar,>,INS,s
<goliflar,>,INS,e
flar,>,INS,o
rar,>,INS,es
ar,>,INS,esti
oterrar,>,INS,i
rar,>,INS,ti
ar,>,INS,s
r,>,INS,es
rrar,>,INS,s
terrar,>,INS,s
soterrar,>,INS,e
oterrar,>,INS,e
<soterrar,>,INS,s
r,>,INS,esti
r,>,INS,ti
r,>,INS,e
<soterrar,>,INS,i
terrar,>,INS,i
ar,>,INS,ti
soterrar,>,INS,i
rrar,>,INS,es
rrar,>,INS,i
rar,>,INS,e
oterrar,>,INS,s
rrar,>,INS,sti
ar,>,INS,es
rar,>,INS,sti
ar,>,INS,i
rrar,>,INS,e
errar,>,INS,s
errar,>,INS,i
errar,>,INS,ti
rrar,>,INS,ti
ar,>,INS,e
terrar,>,INS,e
rar,>,INS,s
errar,>,INS,sti
r,>,INS,sti
soterrar,>,INS,s
ar,>,INS,sti
r,>,INS,s
<soterrar,>,INS,e
r,>,INS,i
rar,>,INS,esti
errar,>,INS,e
rar,>,INS,i
pesllar,>,INS,n
lar,>,INS,on
r,>,INS,o
ar,>,INS,on
llar,>,INS,n
lar,>,INS,n
ar,>,INS,n
ar,>,INS,o
esllar,>,INS,o
lar,>,INS,o
sllar,>,INS,o
sllar,>,INS,n
pesllar,>,INS,o
r,>,INS,n
llar,>,INS,o
esllar,>,INS,n
r,>,INS,on
ar,>,INS,án
izar,>,INS,n
nizar,>,INS,n
nizar,>,INS,á
stianizar,>,INS,n
<cristianizar,>,INS,n
ar,>,INS,n
cristianizar,>,INS,n
ar,>,INS,á
r,>,INS,á
zar,>,INS,á
ristianizar,>,INS,n
r,>,INS,án
zar,>,INS,án
tianizar,>,INS,n
istianizar,>,INS,n
r,>,INS,n
zar,>,INS,n
ianizar,>,INS,n
anizar,>,INS,n
izar,>,INS,á
lucar,>,INS,a
ucar,>,INS,a
car,>,INS,n
car,>,INS,a
ar,>,INS,an
blucar,>,INS,a
ar,>,INS,n
r,>,INS,an
r,>,INS,a
<ablucar,>,INS,a
ucar,>,INS,n
ar,>,INS,a
r,>,INS,n
ablucar,>,INS,a
car,>,INS,an
lucar,>,INS,n
inar,>,INS,i
nar,>,INS,es
nar,>,INS,i
ar,>,INS,i
inar,>,INS,e
ar,>,INS,s
r,>,INS,i
inar,>,INS,sti
ar,>,INS,tis
ar,>,INS,e
r,>,INS,stis
r,>,INS,esti
inar,>,INS,s
ar,>,INS,ti
nar,>,INS,s
nar,>,INS,estis
inar,>,INS,es
rinar,>,INS,e
inar,>,INS,ti
nar,>,INS,stis
r,>,INS,estis
ar,>,INS,sti
ar,>,INS,esti
ar,>,INS,es
nar,>,INS,ti
ar,>,INS,estis
r,>,INS,s
nar,>,INS,tis
ar,>,INS,stis
nar,>,INS,sti
r,>,INS,tis
nar,>,INS,esti
rinar,>,INS,s
r,>,INS,ti
r,>,INS,e
orinar,>,INS,s
nar,>,INS,e
orinar,>,INS,e
<orinar,>,INS,s
r,>,INS,es
r,>,INS,sti
<orinar,>,INS,e
udar,>,INS,ba
estornudar,>,INS,a
dar,>,INS,a
r,>,INS,ba
ornudar,>,INS,a
<estornudar,>,INS,a
rnudar,>,INS,a
stornudar,>,INS,a
dar,>,INS,ba
r,>,INS,a
ar,>,INS,a
nudar,>,INS,a
tornudar,>,INS,a
udar,>,INS,a
ar,>,INS,ba
digañar,>,INS,s
r,>,INS,s
<esmordigañar,>,INS,os
gañar,>,INS,o
ordigañar,>,INS,s
rdigañar,>,INS,s
smordigañar,>,INS,os
smordigañar,>,INS,s
esmordigañar,>,INS,s
añar,>,INS,os
digañar,>,INS,o
<esmordigañar,>,INS,o
añar,>,INS,o
mordigañar,>,INS,os
ñar,>,INS,o
r,>,INS,o
r,>,INS,os
mordigañar,>,INS,o
esmordigañar,>,INS,os
digañar,>,INS,os
smordigañar,>,INS,o
ar,>,INS,os
gañar,>,INS,s
rdigañar,>,INS,o
ordigañar,>,INS,os
ñar,>,INS,s
igañar,>,INS,os
<esmordigañar,>,INS,s
añar,>,INS,s
esmordigañar,>,INS,o
ar,>,INS,s
ñar,>,INS,os
igañar,>,INS,s
ar,>,INS,o
igañar,>,INS,o
ordigañar,>,INS,o
mordigañar,>,INS,s
rdigañar,>,INS,os
gañar,>,INS,os
omar,>,INS,i
ar,>,INS,i
nomar,>,INS,e
<nomar,>,INS,s
mar,>,INS,esti
ar,>,INS,es
<nomar,>,INS,e
r,>,INS,sti
r,>,INS,e
ar,>,INS,e
mar,>,INS,s
mar,>,INS,es
ar,>,INS,s
omar,>,INS,e
nomar,>,INS,s
r,>,INS,esti
r,>,INS,ti
mar,>,INS,i
r,>,INS,s
r,>,INS,i
mar,>,INS,ti
ar,>,INS,sti
ar,>,INS,esti
<nomar,>,INS,i
mar,>,INS,sti
r,>,INS,es
ar,>,INS,ti
nomar,>,INS,i
omar,>,INS,s
mar,>,INS,e
dar,>,INS,e
r,>,INS,e
ar,>,INS,n
amudar,>,INS,n
dar,>,INS,en
mudar,>,INS,n
udar,>,INS,e
udar,>,INS,en
ar,>,INS,e
ar,>,INS,en
camudar,>,INS,n
r,>,INS,n
r,>,INS,en
<camudar,>,INS,n
udar,>,INS,n
dar,>,INS,n
mudar,>,INS,e
ar,>,INS,é
tar,>,INS,é
r,>,INS,é
r,>,INS,a
rar,>,INS,ba
rrar,>,INS,a
rar,>,INS,a
ar,>,INS,a
agarrar,>,INS,a
garrar,>,INS,a
arrar,>,INS,a
ar,>,INS,ba
<agarrar,>,INS,a
r,>,INS,ba
ar,>,INS,e
olocar,>,INS,e
car,>,INS,e
r,>,INS,e
<colocar,>,INS,e
locar,>,INS,e
ocar,>,INS,e
colocar,>,INS,e
r,>,INS,es
nar,>,INS,e
ar,>,INS,e
inar,>,INS,e
inar,>,INS,es
ar,>,INS,s
ar,>,INS,es
<combinar,>,INS,e
r,>,INS,e
mbinar,>,INS,e
nar,>,INS,es
ombinar,>,INS,e
combinar,>,INS,s
nar,>,INS,s
binar,>,INS,e
inar,>,INS,s
<combinar,>,INS,s
ombinar,>,INS,s
combinar,>,INS,e
r,>,INS,s
mbinar,>,INS,s
binar,>,INS,s
r,>,INS,stis
acer,>,INS,fi
er,>,INS,c
acer,>,INS,s
er,>,INS,stis
<facer,>,INS,fi
r,>,INS,tis
facer,>,INS,s
cer,>,INS,i
cer,>,INS,s
r,>,INS,ti
er,>,INS,sti
r,>,INS,i
<facer,>,INS,s
cer,>,INS,fi
r,>,INS,sti
r,>,INS,s
acer,>,INS,i
r,>,INS,fi
er,>,INS,ti
er,>,INS,fi
er,>,INS,i
facer,>,INS,i
r,>,INS,fici
er,>,INS,tis
<facer,>,INS,i
facer,>,INS,fi
er,>,INS,s
er,>,INS,fici
r,>,INS,c
r,>,INS,e
ar,>,INS,n
r,>,INS,n
ciar,>,INS,n
rciar,>,INS,e
iar,>,INS,e
iar,>,INS,n
vorciar,>,INS,e
ciar,>,INS,en
<divorciar,>,INS,e
ar,>,INS,e
r,>,INS,en
iar,>,INS,ben
ar,>,INS,en
divorciar,>,INS,e
iar,>,INS,en
ar,>,INS,ben
r,>,INS,ben
ivorciar,>,INS,e
orciar,>,INS,e
ciar,>,INS,e
stacar,>,INS,s
stacar,>,INS,a
acar,>,INS,s
ar,>,INS,as
ar,>,INS,a
r,>,INS,a
car,>,INS,s
<destacar,>,INS,a
tacar,>,INS,s
r,>,INS,s
destacar,>,INS,a
<destacar,>,INS,s
r,>,INS,as
car,>,INS,as
estacar,>,INS,a
estacar,>,INS,s
acar,>,INS,a
destacar,>,INS,s
tacar,>,INS,a
ar,>,INS,s
car,>,INS,a
strar,>,INS,a
rar,>,INS,a
<rexistrar,>,INS,a
ar,>,INS,a
r,>,INS,a
istrar,>,INS,a
existrar,>,INS,a
rexistrar,>,INS,a
rar,>,INS,ba
trar,>,INS,a
r,>,INS,ba
ar,>,INS,ba
xistrar,>,INS,a
ar,>,INS,s
r,>,INS,o
eitar,>,INS,o
afeitar,>,INS,o
feitar,>,INS,s
ar,>,INS,os
r,>,INS,s
tar,>,INS,o
tar,>,INS,s
itar,>,INS,s
r,>,INS,os
afeitar,>,INS,s
feitar,>,INS,o
itar,>,INS,os
eitar,>,INS,s
<afeitar,>,INS,s
tar,>,INS,os
<afeitar,>,INS,o
itar,>,INS,o
ar,>,INS,o
r,>,INS,á
esllar,>,INS,s
<pesllar,>,INS,s
llar,>,INS,o
esllar,>,INS,os
esllar,>,INS,a
r,>,INS,ramos
lar,>,INS,s
r,>,INS,a
pesllar,>,INS,a
pesllar,>,INS,mos
esllar,>,INS,o
ar,>,INS,amos
lar,>,INS,os
esllar,>,INS,mos
ar,>,INS,a
<pesllar,>,INS,a
lar,>,INS,mos
sllar,>,INS,mos
pesllar,>,INS,o
lar,>,INS,ramos
lar,>,INS,amos
pesllar,>,INS,os
pesllar,>,INS,s
ar,>,INS,os
lar,>,INS,a
r,>,INS,áramos
r,>,INS,o
ar,>,INS,o
lar,>,INS,áramos
ar,>,INS,á
sllar,>,INS,o
sllar,>,INS,s
llar,>,INS,a
lar,>,INS,o
llar,>,INS,amos
ar,>,INS,áramos
r,>,INS,amos
r,>,INS,os
ar,>,INS,mos
r,>,INS,mos
llar,>,INS,os
llar,>,INS,á
lar,>,INS,á
sllar,>,INS,os
llar,>,INS,s
sllar,>,INS,a
<pesllar,>,INS,o
ar,>,INS,s
ar,>,INS,ramos
llar,>,INS,mos
r,>,INS,s
xir,>,INS,e
r,>,INS,s
xir,>,INS,s
esixir,>,INS,e
sixir,>,INS,e
esixir,>,INS,s
sixir,>,INS,í
ir,>,INS,í
ixir,>,INS,e
r,>,INS,í
r,>,INS,íes
r,>,INS,es
ir,>,INS,e
esixir,>,INS,í
<esixir,>,INS,e
ir,>,INS,s
ixir,>,INS,í
ir,>,INS,es
xir,>,INS,í
<esixir,>,INS,s
ixir,>,INS,s
ir,>,INS,íes
r,>,INS,e
<esixir,>,INS,í
sixir,>,INS,s
studiar,>,INS,e
r,>,INS,e
tudiar,>,INS,e
<estudiar,>,INS,e
diar,>,INS,e
iar,>,INS,e
udiar,>,INS,e
ar,>,INS,e
estudiar,>,INS,e
r,>,INS,áu
ar,>,INS,á
urar,>,INS,á
ar,>,INS,áu
rar,>,INS,áu
rar,>,INS,á
r,>,INS,á
r,>,INS,e
ar,>,INS,e
<rebaxar,>,INS,e
axar,>,INS,e
rebaxar,>,INS,e
xar,>,INS,e
ebaxar,>,INS,e
baxar,>,INS,e
<dixebrar,>,INS,e
rar,>,INS,ben
ixebrar,>,INS,e
rar,>,INS,n
ar,>,INS,n
ebrar,>,INS,e
r,>,INS,en
brar,>,INS,e
xebrar,>,INS,e
dixebrar,>,INS,e
r,>,INS,ben
rar,>,INS,e
rar,>,INS,en
ar,>,INS,en
r,>,INS,e
ar,>,INS,e
brar,>,INS,n
r,>,INS,n
ar,>,INS,ben
audar,>,INS,e
dar,>,INS,s
ar,>,INS,s
audar,>,INS,s
<audar,>,INS,s
<audar,>,INS,e
r,>,INS,es
udar,>,INS,e
r,>,INS,s
udar,>,INS,s
dar,>,INS,e
r,>,INS,e
ar,>,INS,e
dar,>,INS,es
ar,>,INS,es
udar,>,INS,es
stacar,>,INS,a
car,>,INS,ía
car,>,INS,í
r,>,INS,ía
r,>,INS,a
r,>,INS,í
ar,>,INS,ía
<destacar,>,INS,a
destacar,>,INS,a
ar,>,INS,a
car,>,INS,a
ar,>,INS,í
estacar,>,INS,a
acar,>,INS,a
tacar,>,INS,a
ar,>,INS,s
arar,>,INS,á
ar,>,INS,i
r,>,INS,áis
parar,>,INS,i
r,>,INS,ái
ar,>,INS,áis
r,>,INS,i
parar,>,INS,s
ar,>,INS,á
<parar,>,INS,s
rar,>,INS,ái
rar,>,INS,i
r,>,INS,á
parar,>,INS,á
ar,>,INS,ái
arar,>,INS,s
<parar,>,INS,i
r,>,INS,s
rar,>,INS,áis
arar,>,INS,i
rar,>,INS,s
rar,>,INS,á
ar,>,INS,e
lar,>,INS,e
lar,>,INS,s
r,>,INS,s
<charlar,>,INS,e
harlar,>,INS,e
r,>,INS,mos
rlar,>,INS,e
rlar,>,INS,s
r,>,INS,emos
ar,>,INS,emos
charlar,>,INS,s
r,>,INS,o
lar,>,INS,o
ar,>,INS,os
lar,>,INS,os
ar,>,INS,mos
<charlar,>,INS,o
arlar,>,INS,o
charlar,>,INS,e
rlar,>,INS,o
r,>,INS,e
arlar,>,INS,s
lar,>,INS,mos
lar,>,INS,emos
r,>,INS,os
<charlar,>,INS,s
ar,>,INS,o
harlar,>,INS,o
arlar,>,INS,e
harlar,>,INS,s
ar,>,INS,s
charlar,>,INS,o
tar,>,INS,é
ar,>,INS,é
r,>,INS,é
ntar,>,INS,s
tar,>,INS,stis
r,>,INS,sti
ntar,>,INS,ti
untar,>,INS,s
<axuntar,>,INS,s
untar,>,INS,i
r,>,INS,i
xuntar,>,INS,s
ar,>,INS,s
r,>,INS,tis
ar,>,INS,i
axuntar,>,INS,s
ntar,>,INS,sti
tar,>,INS,sti
ntar,>,INS,tis
ar,>,INS,sti
tar,>,INS,ti
tar,>,INS,i
ntar,>,INS,stis
ar,>,INS,stis
r,>,INS,stis
r,>,INS,s
ar,>,INS,ti
r,>,INS,ti
tar,>,INS,tis
ntar,>,INS,i
ar,>,INS,tis
tar,>,INS,s
ir,>,INS,emos
omitir,>,INS,e
mitir,>,INS,o
tir,>,INS,emos
<omitir,>,INS,o
<omitir,>,INS,s
ir,>,INS,mos
r,>,INS,s
<omitir,>,INS,e
mitir,>,INS,s
r,>,INS,o
tir,>,INS,o
<omitir,>,INS,í
itir,>,INS,e
r,>,INS,mos
omitir,>,INS,í
mitir,>,INS,e
omitir,>,INS,o
ir,>,INS,íemos
r,>,INS,emos
tir,>,INS,os
tir,>,INS,í
r,>,INS,e
ir,>,INS,e
tir,>,INS,e
itir,>,INS,í
tir,>,INS,mos
itir,>,INS,o
itir,>,INS,s
r,>,INS,íemos
r,>,INS,í
omitir,>,INS,s
mitir,>,INS,í
ir,>,INS,s
ir,>,INS,os
ir,>,INS,í
ir,>,INS,o
tir,>,INS,s
r,>,INS,os
er,>,INS,i
facer,>,INS,i
cer,>,INS,ai
acer,>,INS,i
er,>,INS,ai
er,>,INS,ga
<facer,>,INS,i
er,>,INS,a
facer,>,INS,a
r,>,INS,ai
r,>,INS,ga
<facer,>,INS,ai
acer,>,INS,a
facer,>,INS,ai
acer,>,INS,ai
<facer,>,INS,a
cer,>,INS,a
cer,>,INS,i
r,>,INS,a
r,>,INS,i
r,>,INS,o
har,>,INS,o
archar,>,INS,s
marchar,>,INS,e
har,>,INS,e
ar,>,INS,e
<marchar,>,INS,s
<marchar,>,INS,e
r,>,INS,mos
r,>,INS,e
char,>,INS,s
rchar,>,INS,s
ar,>,INS,emos
r,>,INS,ábemos
har,>,INS,mos
char,>,INS,o
char,>,INS,e
rchar,>,INS,e
char,>,INS,á
ar,>,INS,ábemos
char,>,INS,os
har,>,INS,os
ar,>,INS,á
ar,>,INS,s
char,>,INS,mos
ar,>,INS,o
char,>,INS,emos
ar,>,INS,os
har,>,INS,emos
r,>,INS,á
r,>,INS,emos
har,>,INS,á
r,>,INS,s
har,>,INS,s
archar,>,INS,e
marchar,>,INS,s
r,>,INS,os
ar,>,INS,mos
<soterrar,>,INS,i
terrar,>,INS,s
errar,>,INS,s
ar,>,INS,ti
soterrar,>,INS,s
r,>,INS,ti
rar,>,INS,s
errar,>,INS,ti
rrar,>,INS,ti
rrar,>,INS,s
rrar,>,INS,sti
rar,>,INS,ti
rar,>,INS,sti
errar,>,INS,sti
rar,>,INS,i
rrar,>,INS,i
soterrar,>,INS,i
r,>,INS,sti
ar,>,INS,i
ar,>,INS,sti
r,>,INS,i
oterrar,>,INS,s
terrar,>,INS,i
<soterrar,>,INS,s
errar,>,INS,i
ar,>,INS,s
r,>,INS,s
oterrar,>,INS,i
ar,>,INS,sti
iar,>,INS,tis
ar,>,INS,s
r,>,INS,sti
r,>,INS,tis
ar,>,INS,i
copiar,>,INS,i
ar,>,INS,ti
<copiar,>,INS,i
r,>,INS,s
iar,>,INS,s
iar,>,INS,stis
piar,>,INS,s
iar,>,INS,ti
r,>,INS,i
iar,>,INS,i
piar,>,INS,i
opiar,>,INS,i
ar,>,INS,stis
r,>,INS,ti
opiar,>,INS,s
<copiar,>,INS,s
iar,>,INS,sti
r,>,INS,stis
ar,>,INS,tis
copiar,>,INS,s
orar,>,INS,e
ar,>,INS,es
rar,>,INS,e
r,>,INS,e
<llorar,>,INS,e
lorar,>,INS,e
llorar,>,INS,e
ar,>,INS,e
orar,>,INS,es
<llorar,>,INS,s
ar,>,INS,s
llorar,>,INS,s
rar,>,INS,s
r,>,INS,s
lorar,>,INS,s
rar,>,INS,es
r,>,INS,es
orar,>,INS,s
r,>,INS,e
iar,>,INS,n
ciar,>,INS,en
ar,>,INS,e
ar,>,INS,n
aciar,>,INS,e
ciar,>,INS,n
ar,>,INS,en
iar,>,INS,e
vaciar,>,INS,e
r,>,INS,en
r,>,INS,n
ciar,>,INS,e
<vaciar,>,INS,e
iar,>,INS,en
atar,>,INS,é
tar,>,INS,é
ar,>,INS,é
r,>,INS,é
iciar,>,INS,e
r,>,INS,e
<niciar,>,INS,s
r,>,INS,os
ar,>,INS,mos
