Left;Right;Operation;Object;MorphFeatures;Weight
adā;>;DEL;z;ADJ,PL,IN+ESS;7.91484e-05
ǟdõ;>;INS;b;V,ACT,FIN,IND,POS,PRS,SG,1;7.90886e-05
int;>;INS;õn;N,SG,DAT;7.90287e-05
rtitīv;>;INS;õ;N,SG,PRT;7.89632e-05
zītsij;>;INS;d;N,PL,NOM;7.89034e-05
atīv;>;INS;õ;N,SG,IN+ALL;7.88377e-05
mīez;>;INS;ēši;N,PL,IN+ESS;7.87777e-05
ūomõg;>;INS;õks;N,SG,INS;7.8717e-05
tāl;>;INS;õs;N,SG,IN+ESS,LGSPEC6;7.8651e-05
mmõ;>;DEL;z;ADJ,SG,DAT;7.85819e-05
ā;nda>;INS;a;V,ACT,FIN,IND,NEG,FUT,PRF,SG,1;7.85216e-05
kkõ;>;INS;g;V,ACT,FIN,LGSPEC1,POS,PRS,SG,3;7.84533e-05
vār;>;INS;idi;N,PL,PRT;7.83938e-05
lī;dõ>;INS;n;V,ACT,FIN,IND,NEG,FUT,PRF,SG,2;7.83166e-05
tūlda;>;INS;ulks;V,ACT,FIN,COND,NEG,PRS,SG,1;7.82564e-05
āmbaz;>;INS;s;N,SG,IN+ESS,LGSPEC6;7.81965e-05
tūlda;>;INS;ulmõ;V,LGSPEC3;7.81374e-05
aš;>;INS;šõs;ADJ,SG,IN+ESS;7.80769e-05
seis;sadāz>;INS;iž;ADJ,PL,IN+ALL;7.80177e-05
ār;>;INS;idi;N,PL,PRT;7.79571e-05
l;>;INS;lõdõks;N,PL,INS;7.78908e-05
l;>;DEL;lõ;V,ACT,FIN,IND,NEG,PRS,SG,2;7.78319e-05
kuolmi;>;INS;zt;ADJ,SG,PRT;7.77719e-05
tuoistõn;>;DEL;z;ADJ,SG,INS;7.77083e-05
kež;>;INS;ätā;N,SG,PRT;7.7647e-05
nda;>;INS;nnõd;V,ACT,FIN,IND,POS,FUT,PRF,PL,3;7.75883e-05
al;>;DEL;li;ADJ,SG,PRT;7.75236e-05
da;>;INS;uļ;V,ACT,FIN,IND,POS,PST,SG,1;7.7465e-05
līd;õ>;INS;s;V,LGSPEC2;7.74038e-05
õz;>;INS;ndõdõn;ADJ,PL,DAT;7.733e-05
trāit;>;DEL;a;N,PL,PRT;7.72704e-05
oŗ;>;INS;rsõ;ADJ,SG,IN+ESS;7.72074e-05
da;>;INS;ȯļļi;V,ACT,FIN,QUOT,POS,PRS,SG,3;7.7149e-05
nǟd;>;DEL;õ;V,ACT,FIN,QUOT,POS,PRS,PL,1;7.70823e-05
vȱld;>;DEL;a;V,ACT,FIN,IND,NEG,FUT,PRF,PL,3;7.70235e-05
omõg;>;INS;õks;N,SG,INS;7.69648e-05
värb;>;INS;õdõn;N,PL,DAT;7.69066e-05
pā;da>;DEL;n;V,ACT,FIN,IND,POS,PRS,SG,2;7.68478e-05
dõ;>;INS;eiz;V,ACT,FIN,IND,POS,PST,SG,3;7.67881e-05
st;>;INS;iž;N,PL,IN+ALL;7.673e-05
nt;>;INS;õn;N,SG,DAT;7.66717e-05
eis;sadāz>;INS;iž;ADJ,PL,IN+ALL;7.66077e-05
oț;>;INS;īdõn;N,PL,DAT;7.65444e-05
īm;>;INS;is;N,PL,IN+ESS;7.64865e-05
ēḑ;>;INS;štõ;N,SG,IN+ABL;7.64286e-05
tū;>;DEL;ļ;N,SG,GEN;7.63703e-05
ež;>;INS;ätā;N,SG,PRT;7.63126e-05
nǟ;>;DEL;dõ;V,ACT,FIN,IND,POS,PRS,SG,1;7.62548e-05
õnā;>;INS;dõn;N,PL,DAT;7.61948e-05
lī;õ>;DEL;d;V,ACT,FIN,LGSPEC1,NEG,PRS,SG,1;7.6136e-05
jel;>;DEL;lõ;V,ACT,FIN,IND,POS,PRS,PL,1;7.60784e-05
kõ;>;INS;g;V,ACT,FIN,LGSPEC1,POS,PRS,SG,3;7.60134e-05
tuoist;õnz>;INS;õndõd;ADJ,PL,DAT;7.59527e-05
ǟdlõ;>;INS;gõd;V,ACT,FIN,LGSPEC1,NEG,PRS,PL,2;7.58948e-05
ūlda;>;INS;ulks;V,ACT,FIN,COND,NEG,PRS,SG,1;7.58371e-05
ītsij;>;INS;d;N,PL,NOM;7.57789e-05
titīv;>;INS;õ;N,SG,PRT;7.57216e-05
<pā;da>;DEL;n;V,ACT,FIN,IND,POS,PRS,SG,2;7.56643e-05
joutõml;>;DEL;äpš;N,SG,DAT;7.56065e-05
ummitsõnā;>;INS;dõn;N,PL,DAT;7.55469e-05
īd;õ>;INS;s;V,LGSPEC2;7.54864e-05
oț;>;INS;īs;N,PL,IN+ESS;7.54292e-05
da;>;INS;nnõd;V,ACT,FIN,IND,POS,FUT,PRF,PL,3;7.5372e-05
ī;dõ>;INS;n;V,ACT,FIN,IND,NEG,FUT,PRF,SG,2;7.53146e-05
tuoistõnz;>;INS;dõd;ADJ,PL,GEN;7.52492e-05
l;õ>;INS;d;V,PASS,V.PTCP;7.51901e-05
ll;i>;INS;īž;N,PL,IN+ESS;7.51261e-05
ā;da>;DEL;n;V,ACT,FIN,IND,POS,PRS,SG,2;7.50683e-05
rāit;>;DEL;a;N,PL,PRT;7.50093e-05
mbaz;>;INS;s;N,SG,IN+ESS,LGSPEC6;7.49523e-05
värb;>;INS;õd;N,PL,GEN;7.48956e-05
l;>;DEL;li;ADJ,SG,PRT;7.48366e-05
is;sadāz>;INS;iž;ADJ,PL,IN+ALL;7.47797e-05
mmitsõnā;>;INS;dõn;N,PL,DAT;7.47137e-05
ū;>;INS;kõks;N,SG,INS;7.46549e-05
kimmõ;>;DEL;z;ADJ,SG,IN+ABL,LGSPEC6;7.45982e-05
a;>;INS;uļ;V,ACT,FIN,IND,POS,PST,SG,1;7.45416e-05
ȱld;>;DEL;a;V,ACT,FIN,IND,NEG,FUT,PRF,PL,3;7.44851e-05
mõg;>;INS;õks;N,SG,INS;7.44285e-05
tūlda;>;INS;ulksmõ;V,ACT,FIN,COND,NEG,PRS,PL,1;7.4372e-05
outõml;>;DEL;äpš;N,SG,DAT;7.43109e-05
ŗ;>;INS;rsõ;ADJ,SG,IN+ESS;7.42538e-05
uoistõnz;>;INS;dist;ADJ,PL,IN+ABL;7.41968e-05
analōgij;>;INS;dkõks;N,PL,INS;7.41385e-05
õz;>;INS;ndist;ADJ,PL,IN+ABL;7.40819e-05
š;>;INS;šõs;ADJ,SG,IN+ESS;7.40234e-05
t;>;INS;iž;N,PL,IN+ALL;7.39674e-05
itīv;>;INS;õ;N,SG,PRT;7.39102e-05
ūlda;>;INS;ulmõ;V,LGSPEC3;7.38543e-05
olmi;>;INS;zt;ADJ,SG,PRT;7.37982e-05
rōza;>;INS;z;ADJ,SG,IN+ALL;7.37417e-05
ij;>;INS;d;N,PL,GEN;7.3685e-05
mi;>;INS;zõks;ADJ,SG,INS;7.36289e-05
sõ;>;DEL;nā;N,PL,PRT;7.35716e-05
ī;õ>;DEL;d;V,ACT,FIN,LGSPEC1,NEG,PRS,SG,1;7.35149e-05
āit;>;DEL;a;N,PL,PRT;7.34592e-05
õ;>;INS;eiz;V,ACT,FIN,IND,POS,PST,SG,3;7.34036e-05
ț;>;INS;īdõn;N,PL,DAT;7.3348e-05
d;>;INS;õks;N,PL,INS;7.32924e-05
ļ;>;INS;ld;N,PL,GEN;7.3237e-05
tūl;>;DEL;da;V,ACT,FIN,IND,NEG,PRS,SG,3;7.31815e-05
lda;>;INS;ulmõ;V,LGSPEC3;7.31261e-05
ärb;>;INS;õd;N,PL,GEN;7.30708e-05
mõ;>;DEL;z;ADJ,PL,IN+ABL;7.30149e-05
a;>;INS;ȯļļi;V,ACT,FIN,QUOT,POS,PRS,SG,3;7.29544e-05
ț;>;INS;īs;N,PL,IN+ESS;7.28991e-05
ū;>;DEL;ļ;N,SG,GEN;7.28438e-05
ǟ;>;DEL;dõ;V,ACT,FIN,IND,POS,PRS,SG,1;7.27887e-05
tū;>;DEL;ļ;N,PL,DAT;7.27288e-05
ā;>;DEL;z;ADJ,PL,IN+ESS;7.26729e-05
õ;>;INS;b;V,ACT,FIN,IND,POS,PRS,SG,1;7.26179e-05
t;>;INS;õn;N,SG,DAT;7.2563e-05
ž;>;INS;ätā;N,SG,PRT;7.2508e-05
p;a>;DEL;ānd;V,ACT,FIN,IND,NEG,PST,PL,3;7.2453e-05
rōntõz;>;INS;d;N,PL,NOM;7.23947e-05
analīz;>;INS;idi;N,PL,PRT;7.23398e-05
lda;>;INS;ulks;V,ACT,FIN,COND,NEG,PRS,SG,1;7.22834e-05
ärb;>;INS;õdõn;N,PL,DAT;7.22287e-05
tīv;>;INS;õ;N,SG,PRT;7.21739e-05
baz;>;INS;s;N,SG,IN+ESS,LGSPEC6;7.21193e-05
boŗ;>;INS;īs;N,PL,IN+ESS;7.20645e-05
ǟd;>;DEL;õ;V,ACT,FIN,QUOT,POS,PRS,PL,1;7.2007e-05
d;õ>;INS;s;V,LGSPEC2;7.19525e-05
analōg;>;INS;idi;N,PL,PRT;7.18978e-05
pā;nda>;INS;a;V,ACT,FIN,IND,NEG,FUT,PRF,SG,1;7.18418e-05
jūlij;>;INS;õ;N,SG,IN+ALL;7.17875e-05
ūlda;>;INS;ulksmõ;V,ACT,FIN,COND,NEG,PRS,PL,1;7.17329e-05
utõml;>;DEL;äpš;N,SG,DAT;7.16786e-05
a;>;INS;nnõd;V,ACT,FIN,IND,POS,FUT,PRF,PL,3;7.16237e-05
r;>;INS;idi;N,PL,PRT;7.15695e-05
mitsõnā;>;INS;dõn;N,PL,DAT;7.15123e-05
nalōgij;>;INS;dkõks;N,PL,INS;7.14582e-05
n;>;DEL;ǟdõ;V,ACT,FIN,QUOT,POS,PRS,SG,1;7.14011e-05
el;>;DEL;lõ;V,ACT,FIN,IND,POS,PRS,PL,1;7.13456e-05
lõ;>;INS;gõd;V,ACT,FIN,LGSPEC1,NEG,PRS,PL,2;7.12916e-05
ūl;>;DEL;da;V,ACT,FIN,IND,NEG,PRS,SG,3;7.12373e-05
s;sadāz>;INS;iž;ADJ,PL,IN+ALL;7.11834e-05
lešknai;>;INS;zõs;N,SG,IN+ESS;7.11265e-05
sij;>;INS;d;N,PL,NOM;7.10726e-05
lij;>;INS;õ;N,SG,IN+ALL;7.10187e-05
mmõ;>;DEL;z;ADJ,SG,IN+ABL,LGSPEC6;7.0965e-05
ǟdõ;>;INS;d;V,ACT,FIN,LGSPEC1,NEG,PRS,PL,2;7.09109e-05
ld;>;DEL;a;V,ACT,FIN,IND,NEG,FUT,PRF,PL,3;7.08509e-05
it;>;DEL;a;N,PL,PRT;7.07973e-05
rb;>;INS;õdõn;N,PL,DAT;7.07437e-05
<likkõ;>;INS;bõd;V,ACT,FIN,IND,POS,PRS,PL,3;7.06897e-05
alōgij;>;INS;dkõks;N,PL,INS;7.06362e-05
r;>;INS;dõks;N,PL,INS;7.05812e-05
ā;>;INS;dõn;N,PL,DAT;7.05271e-05
d;>;DEL;õ;V,ACT,FIN,QUOT,POS,PRS,PL,3;7.04727e-05
r;>;INS;ist;N,PL,IN+ABL;7.0419e-05
atīv;>;INS;st;N,SG,IN+ABL;7.03653e-05
p;>;DEL;ǟva;N,PL,IN+ABL;7.0312e-05
d;>;DEL;a;V,ACT,FIN,IND,NEG,FUT,PRF,PL,3;7.02587e-05
õ;>;DEL;z;ADJ,SG,IN+ABL;7.02053e-05
likkõ;>;INS;nd;V,ACT,FIN,IND,POS,FUT,PRF,PL,1;7.01513e-05
ūlij;>;INS;õ;N,SG,IN+ALL;7.00965e-05
immõ;>;DEL;z;ADJ,SG,IN+ABL,LGSPEC6;7.00435e-05
statsij;>;INS;ši;N,PL,IN+ESS;6.99899e-05
kīņtš;>;INS;ndstõ;N,SG,IN+ABL;6.99359e-05
lmi;>;INS;zt;ADJ,SG,PRT;6.98822e-05
da;>;INS;ulks;V,ACT,FIN,COND,NEG,PRS,SG,1;6.98292e-05
<n;>;DEL;ǟdõ;V,ACT,FIN,QUOT,POS,PRS,SG,1;6.97764e-05
az;>;INS;s;N,SG,IN+ESS,LGSPEC6;6.97235e-05
da;>;INS;ulmõ;V,LGSPEC3;6.96708e-05
õ;>;INS;gõd;V,ACT,FIN,LGSPEC1,NEG,PRS,PL,2;6.96179e-05
rb;>;INS;õdõks;N,PL,INS;6.95649e-05
itsõnā;>;INS;dõn;N,PL,DAT;6.95123e-05
janvār;>;INS;õd;N,PL,GEN;6.94597e-05
tatsij;>;INS;ši;N,PL,IN+ESS;6.94069e-05
tīepǟva;>;INS;äuvšti;N,PL,IN+ABL;6.93497e-05
<āmbaz;>;INS;õst;N,SG,IN+ABL;6.92971e-05
nalīz;>;INS;idi;N,PL,PRT;6.92447e-05
nalōg;>;INS;idi;N,PL,PRT;6.91923e-05
võțīm;>;INS;kõks;N,SG,INS;6.91399e-05
l;>;DEL;lõ;V,ACT,FIN,IND,POS,PRS,PL,1;6.90875e-05
b;>;INS;õdõn;N,PL,DAT;6.90351e-05
a;>;INS;ulks;V,ACT,FIN,COND,NEG,PRS,SG,1;6.89829e-05
likkõ;>;INS;bõd;V,ACT,FIN,IND,POS,PRS,PL,3;6.89277e-05
pānda;>;INS;ngõd;V,ACT,FIN,LGSPEC1,POS,PRS,PL,3;6.88755e-05
rb;>;INS;õd;N,PL,GEN;6.88223e-05
īv;>;INS;õ;N,SG,PRT;6.87702e-05
atīv;>;INS;õ;N,SG,PRT;6.8718e-05
<värb;>;INS;õdõks;N,PL,INS;6.86656e-05
b;>;INS;õd;N,PL,GEN;6.86128e-05
ū;>;DEL;ļ;N,PL,DAT;6.85609e-05
žžõmpǟva;>;INS;ks;N,SG,INS;6.85085e-05
vīmkū;>;INS;ži;N,PL,IN+ALL;6.84566e-05
anvār;>;INS;õd;N,PL,GEN;6.84047e-05
nǟ;dõ>;INS;nõ;V,ACT,FIN,IND,NEG,FUT,PRF,PL,1;6.8352e-05
april;>;INS;is;N,PL,IN+ESS;6.82982e-05
ešknai;>;INS;zõs;N,SG,IN+ESS;6.82463e-05
ōza;>;INS;z;ADJ,SG,IN+ALL;6.81936e-05
d;>;DEL;õ;V,ACT,FIN,QUOT,POS,PRS,PL,1;6.81418e-05
t;>;DEL;a;N,PL,PRT;6.80902e-05
l;>;DEL;da;V,ACT,FIN,IND,NEG,PRS,SG,3;6.80386e-05
ŗ;>;INS;īs;N,PL,IN+ESS;6.7987e-05
<;lda>;DEL;tū;V,ACT,FIN,IND,POS,FUT,PRF,PL,1,LGSPEC5;6.7935e-05
tsõnā;>;INS;dõn;N,PL,DAT;6.78827e-05
lōgij;>;INS;dkõks;N,PL,INS;6.78314e-05
ntõz;>;INS;d;N,PL,NOM;6.77795e-05
ikkõ;>;INS;nd;V,ACT,FIN,IND,POS,FUT,PRF,PL,1;6.77282e-05
tuoi;>;INS;z;ADJ,SG,GEN;6.76769e-05
alōg;>;INS;idi;N,PL,PRT;6.76257e-05
t;lda>;DEL;ū;V,ACT,FIN,LGSPEC1,POS,PRS,PL,3;6.75742e-05
mi;>;INS;zt;ADJ,SG,PRT;6.75226e-05
jemā;>;INS;īst;N,PL,IN+ABL;6.74704e-05
<nǟ;dõ>;INS;n;V,ACT,FIN,IND,NEG,FUT,PRF,SG,2;6.74188e-05
āmbaz;>;INS;õst;N,SG,IN+ABL;6.73678e-05
likkõ;>;INS;t;V,ACT,FIN,IND,NEG,PRS,PL,2;6.73168e-05
jell;õ>;INS;āg;V,ACT,FIN,LGSPEC1,NEG,PRS,PL,3;6.72658e-05
õ;>;INS;d;V,ACT,FIN,LGSPEC1,NEG,PRS,PL,2;6.72141e-05
īņtš;>;INS;ndstõ;N,SG,IN+ABL;6.71628e-05
kūlõ;>;INS;mõst;V,ACT,FIN,DEB,POS,PRS,SG,1;6.7112e-05
īmkū;>;INS;ži;N,PL,IN+ALL;6.70612e-05
je;lõ>;DEL;l;V,ACT,FIN,COND,POS,PRS,PL,3;6.70104e-05
tõml;>;DEL;äpš;N,SG,DAT;6.69593e-05
värb;>;INS;õdõks;N,PL,INS;6.69086e-05
tūlda;>;INS;ulgõ;V,ACT,FIN,LGSPEC1,POS,PRS,SG,3;6.68568e-05
<t;lda>;DEL;ū;V,ACT,FIN,LGSPEC1,POS,PRS,PL,3;6.68062e-05
tūlda;>;INS;uļmõ;V,ACT,FIN,IND,POS,PST,PL,1;6.67556e-05
<ašš;>;DEL;õ;ADJ,PL,IN+ESS;6.6705e-05
õțīm;>;INS;kõks;N,SG,INS;6.66545e-05
allitas;>;INS;sidi;N,PL,PRT;6.66034e-05
žõmpǟva;>;INS;ks;N,SG,INS;6.65523e-05
lǟdõ;>;INS;ēji;V,ACT,FIN,QUOT,POS,PRS,SG,2;6.65015e-05
ikkõ;>;INS;bõd;V,ACT,FIN,IND,POS,PRS,PL,3;6.64512e-05
ānda;>;INS;ngõd;V,ACT,FIN,LGSPEC1,POS,PRS,PL,3;6.64009e-05
a;>;INS;ulmõ;V,LGSPEC3;6.63498e-05
v;>;INS;õ;N,SG,PRT;6.62996e-05
z;>;INS;s;N,SG,IN+ESS,LGSPEC6;6.62495e-05
õ;>;DEL;z;ADJ,SG,IN+ABL,LGSPEC6;6.61993e-05
mǟdlõ;>;INS;t;V,ACT,FIN,IND,NEG,PST,PL,3;6.61491e-05
atsij;>;INS;ši;N,PL,IN+ESS;6.60991e-05
epǟva;>;INS;äuvšti;N,PL,IN+ABL;6.6049e-05
alāmīez;>;INS;tõ;N,SG,PRT;6.59991e-05
<veļ;>;INS;īž;N,PL,IN+ALL;6.59483e-05
pril;>;INS;is;N,PL,IN+ESS;6.58984e-05
ǟ;dõ>;INS;nõ;V,ACT,FIN,IND,NEG,FUT,PRF,PL,1;6.58485e-05
nǟ;dõ>;INS;n;V,ACT,FIN,IND,NEG,FUT,PRF,SG,2;6.57987e-05
oŗ;>;INS;īs;N,PL,IN+ESS;6.5748e-05
mõ;>;DEL;z;ADJ,SG,IN+ABL,LGSPEC6;6.56983e-05
ml;>;DEL;äpš;N,SG,DAT;6.56485e-05
sõnā;>;INS;nõ;N,SG,PRT;6.55987e-05
tõz;>;INS;d;N,PL,NOM;6.55491e-05
ūlõ;>;INS;mõst;V,ACT,FIN,DEB,POS,PRS,SG,1;6.54994e-05
smõz;>;INS;ndis;ADJ,PL,IN+ESS;6.54497e-05
mbaz;>;INS;õst;N,SG,IN+ABL;6.53997e-05
uoŗm;>;INS;õdõks;N,PL,INS;6.53501e-05
suoŗ;m>;INS;ūor;N,PL,IN+ALL;6.53005e-05
lilla;>;INS;d;ADJ,PL,NOM;6.52511e-05
tuoistõnz;>;INS;dõst;ADJ,SG,IN+ABL;6.52006e-05
emā;>;INS;īst;N,PL,IN+ABL;6.51513e-05
ņtš;>;INS;ndstõ;N,SG,IN+ABL;6.5102e-05
uoi;>;INS;z;ADJ,SG,GEN;6.50527e-05
<jel;>;DEL;lõ;V,ACT,FIN,IND,POS,PST,SG,3;6.50031e-05
lǟd;õ>;INS;kst;V,ACT,FIN,COND,POS,PRS,PL,2;6.49538e-05
ell;õ>;INS;āg;V,ACT,FIN,LGSPEC1,NEG,PRS,PL,3;6.49047e-05
ūlda;>;INS;uļmõ;V,ACT,FIN,IND,POS,PST,PL,1;6.48556e-05
nā;>;INS;dõn;N,PL,DAT;6.48064e-05
<p;a>;DEL;ānd;V,ACT,FIN,IND,NEG,PST,PL,3;6.47572e-05
ärb;>;INS;õdõks;N,PL,INS;6.47082e-05
lda;>;INS;ulksmõ;V,ACT,FIN,COND,NEG,PRS,PL,1;6.46593e-05
j;>;INS;õ;N,SG,IN+ALL;6.46101e-05
a;>;INS;ulksmõ;V,ACT,FIN,COND,NEG,PRS,PL,1;6.45612e-05
a;>;INS;z;ADJ,SG,IN+ALL;6.45123e-05
kkõ;>;INS;nd;V,ACT,FIN,IND,POS,FUT,PRF,PL,1;6.44635e-05
līz;>;INS;idi;N,PL,PRT;6.44147e-05
lōg;>;INS;idi;N,PL,PRT;6.4366e-05
țīm;>;INS;kõks;N,SG,INS;6.43173e-05
e;lõ>;DEL;l;V,ACT,FIN,COND,POS,PRS,PL,3;6.42675e-05
ǟ;dõ>;INS;n;V,ACT,FIN,IND,NEG,FUT,PRF,SG,2;6.42189e-05
ūlda;>;INS;ulgõ;V,ACT,FIN,LGSPEC1,POS,PRS,SG,3;6.41703e-05
kūlõ;>;INS;m;V,ACT,FIN,IND,POS,PRS,PL,1;6.41217e-05
ikkõ;>;INS;t;V,ACT,FIN,IND,NEG,PRS,PL,2;6.40732e-05
ǟdlõ;>;INS;t;V,ACT,FIN,IND,NEG,PST,PL,3;6.40247e-05
tsij;>;INS;ši;N,PL,IN+ESS;6.39763e-05
uoŗ;m>;INS;ūor;N,PL,IN+ALL;6.39278e-05
llitas;>;INS;sidi;N,PL,PRT;6.38787e-05
õmpǟva;>;INS;ks;N,SG,INS;6.38304e-05
<lī;>;DEL;dõ;V,ACT,FIN,COND,POS,PRS,SG,1;6.3782e-05
ǟdõ;>;INS;ēji;V,ACT,FIN,QUOT,POS,PRS,SG,2;6.37337e-05
<jūlij;>;INS;stõ;N,SG,IN+ABL;6.36848e-05
knai;>;INS;zõs;N,SG,IN+ESS;6.36365e-05
<t;z>;DEL;ōva;N,SG,IN+ALL;6.35882e-05
mkū;>;INS;ži;N,PL,IN+ALL;6.354e-05
vār;>;INS;õd;N,PL,GEN;6.3492e-05
jel;>;DEL;lõ;V,ACT,FIN,IND,POS,PST,SG,3;6.34439e-05
eistuoistõnz;>;INS;dõ;ADJ,SG,IN+ALL;6.33956e-05
tuoistõn;>;DEL;z;ADJ,PL,DAT;6.33474e-05
tuoistõn;>;DEL;z;ADJ,SG,IN+ESS;6.32991e-05
kkõ;>;INS;bõd;V,ACT,FIN,IND,POS,PRS,PL,3;6.32511e-05
veļ;>;INS;īž;N,PL,IN+ALL;6.32033e-05
tūl;>;DEL;da;V,ACT,FIN,IND,NEG,PST,SG,2;6.31555e-05
šš;>;DEL;õ;ADJ,PL,IN+ESS;6.31073e-05
uoistõnz;>;INS;dõd;ADJ,PL,GEN;6.30594e-05
alīz;>;INS;tõks;N,PL,INS;6.30117e-05
illa;>;INS;d;ADJ,PL,NOM;6.2964e-05
<līd;>;DEL;õ;V,ACT,FIN,IND,POS,PRS,PL,3;6.29164e-05
b;>;INS;õdõks;N,PL,INS;6.28685e-05
lī;>;DEL;dõ;V,ACT,FIN,COND,POS,PRS,SG,1;6.28209e-05
lmtuoistõnz;>;INS;dõs;ADJ,SG,IN+ESS;6.27733e-05
sõn;>;DEL;ā;N,SG,PRT;6.27258e-05
gij;>;INS;dkõks;N,PL,INS;6.26783e-05
ril;>;INS;is;N,PL,IN+ESS;6.26308e-05
baz;>;INS;õst;N,SG,IN+ABL;6.25835e-05
ūlõ;>;INS;m;V,ACT,FIN,IND,POS,PRS,PL,1;6.25361e-05
ǟd;õ>;INS;kst;V,ACT,FIN,COND,POS,PRS,PL,2;6.24887e-05
sõ;>;DEL;nā;N,PL,IN+ABL;6.24414e-05
t;z>;DEL;ōva;N,SG,IN+ALL;6.23939e-05
seismõztuoistõnz;>;INS;dõks;ADJ,SG,INS;6.23466e-05
za;>;INS;z;ADJ,SG,IN+ALL;6.22992e-05
dõ;>;INS;d;V,ACT,FIN,LGSPEC1,NEG,PRS,PL,2;6.22521e-05
pärsōn;>;INS;s;N,SG,IN+ESS;6.22048e-05
mōmīez;>;INS;stõ;N,SG,IN+ABL;6.21578e-05
mīe;>;DEL;z;N,SG,DAT;6.21106e-05
oŗm;>;INS;õdõks;N,PL,INS;6.20636e-05
dlõ;>;INS;t;V,ACT,FIN,IND,NEG,PST,PL,3;6.20166e-05
līd;>;DEL;õ;V,ACT,FIN,IND,POS,PRS,PL,3;6.19697e-05
kim;dõz>;INS;dõn;ADJ,SG,IN+ALL;6.19226e-05
ōmīez;>;INS;stõ;N,SG,IN+ABL;6.18757e-05
ärsōn;>;INS;s;N,SG,IN+ESS;6.18289e-05
kõ;>;INS;nd;V,ACT,FIN,IND,POS,FUT,PRF,PL,1;6.1782e-05
mā;>;INS;īst;N,PL,IN+ABL;6.17352e-05
ūl;>;DEL;da;V,ACT,FIN,IND,NEG,PST,SG,2;6.16885e-05
lõ;>;INS;mõst;V,ACT,FIN,DEB,POS,PRS,SG,1;6.16413e-05
oi;>;INS;z;ADJ,SG,GEN;6.15947e-05
<v;>;DEL;ȱlda;V,ACT,FIN,DEB,POS,PRS,PL,1;6.15481e-05
īz;>;INS;idi;N,PL,PRT;6.15015e-05
lda;>;INS;ulgõ;V,ACT,FIN,LGSPEC1,POS,PRS,SG,3;6.1455e-05
ll;õ>;INS;āg;V,ACT,FIN,LGSPEC1,NEG,PRS,PL,3;6.14085e-05
oŗ;m>;INS;ūor;N,PL,IN+ALL;6.1362e-05
ab;>;INS;ši;N,PL,IN+ESS;6.13155e-05
jellõ;>;INS;ājid;V,ACT,FIN,QUOT,POS,PRS,PL,3;6.12691e-05
ūļ;>;INS;i;N,PL,PRT;6.12227e-05
kimmõ;>;DEL;z;ADJ,PL,IN+ABL;6.11762e-05
litas;>;INS;sidi;N,PL,PRT;6.11299e-05
āmīez;>;INS;tõ;N,SG,PRT;6.10837e-05
jūlij;>;INS;stõ;N,SG,IN+ABL;6.10374e-05
ōg;>;INS;idi;N,PL,PRT;6.09911e-05
tš;>;INS;ndstõ;N,SG,IN+ABL;6.09449e-05
dõ;>;INS;ēji;V,ACT,FIN,QUOT,POS,PRS,SG,2;6.08988e-05
jellõ;>;INS;ām;V,ACT,FIN,IND,NEG,PRS,PL,1;6.08527e-05
lda;>;INS;uļmõ;V,ACT,FIN,IND,POS,PST,PL,1;6.08062e-05
sij;>;INS;ši;N,PL,IN+ESS;6.07602e-05
lla;>;INS;d;ADJ,PL,NOM;6.07143e-05
līz;>;INS;tõks;N,PL,INS;6.06683e-05
<mōmīez;>;INS;stõ;N,SG,IN+ABL;6.06224e-05
jellõ;>;INS;nd;V,ACT,FIN,IND,NEG,FUT,PRF,PL,2;6.05765e-05
sȭira;>;INS;iž;N,PL,IN+ALL;6.05307e-05
īm;>;INS;kõks;N,SG,INS;6.04849e-05
da;>;INS;ngõd;V,ACT,FIN,LGSPEC1,POS,PRS,PL,3;6.04386e-05
kõ;>;INS;bõd;V,ACT,FIN,IND,POS,PRS,PL,3;6.03929e-05
tūoiznap;>;DEL;ǟva;N,PL,PRT;6.03472e-05
ār;>;INS;õd;N,PL,GEN;6.03015e-05
il;>;INS;is;N,PL,IN+ESS;6.02559e-05
ab;>;INS;bõn;N,SG,DAT;6.02103e-05
ōmīez;>;INS;ēši;N,PL,IN+ESS;6.01646e-05
t;>;DEL;ūlda;V,ACT,FIN,COND,NEG,PRS,SG,2;6.0119e-05
kū;>;INS;ži;N,PL,IN+ALL;6.00732e-05
ij;>;INS;dkõks;N,PL,INS;6.00278e-05
l;>;DEL;äpš;N,PL,GEN;5.99822e-05
lõ;>;INS;gõd;V,ACT,FIN,LGSPEC1,POS,PRS,PL,3;5.99368e-05
mõ;>;DEL;z;ADJ,SG,IN+ESS;5.98914e-05
õ;>;INS;nd;V,ACT,FIN,IND,NEG,FUT,PRF,PL,2;5.98461e-05
v;>;DEL;ȱlda;V,ACT,FIN,DEB,POS,PRS,PL,1;5.98006e-05
nā;>;INS;ks;N,SG,INS;5.97554e-05
az;>;INS;õst;N,SG,IN+ABL;5.97101e-05
lõ;>;INS;m;V,ACT,FIN,IND,POS,PRS,PL,1;5.96649e-05
d;õ>;INS;m;V,LGSPEC3;5.96198e-05
mõ;>;DEL;z;ADJ,SG,GEN;5.95746e-05
l;>;DEL;äpš;N,SG,DAT;5.95295e-05
ŗm;>;INS;õdõks;N,PL,INS;5.94841e-05
el;>;DEL;lõ;V,ACT,FIN,IND,POS,PST,SG,3;5.94391e-05
